title:odd_even_left_right, start timestamp:2020-01-08T16:19:06.311261-06:00, stop timestamp:2020-01-08T16:19:27.270261-06:00, headset type:EPOCFLEX, headset serial:F00000F7, headset firmware:f12, subject name:Kat, channels:74, sampling rate:128, samples:2702      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2
1578521946.389258,107.000000,0.000000,-69.530510,-6.392146,-245.183746,36.453106,-2.133321,-29.268209,-17.366974,-5.718564,20.411936,-56.829914,60.745754,-61.599941,18.674381,7.192172,5.001505,23.440195,7.756615,-10.459000,68.678108,-61.970608,-5.630672,10.652254,3.296822,13.463460,5.374371,13.538361,-0.734128,-4.369251,-9.695707,-36.716469,80.473740,-222.373199,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.397108,108.000000,0.000000,-69.460976,-6.385754,-244.425751,34.878189,-2.131188,-29.238943,-17.862427,-5.712845,13.212036,-57.285904,60.685009,-56.922958,20.194170,12.826005,-0.131702,21.878294,7.236038,-13.012643,65.019684,-56.780430,-7.676323,8.077499,-3.885962,5.244868,1.266432,10.447899,-1.246214,-6.416163,-9.686012,-36.679752,78.854805,-225.227753,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.404958,109.000000,0.000000,-69.391518,-6.379368,-241.617218,42.535622,-2.129057,-29.209703,-1.434309,-5.707132,23.968056,-56.202980,66.265350,-36.353214,22.738077,25.633692,27.047916,19.292313,14.408289,-14.538093,62.390564,-34.159550,-4.591724,9.095063,-6.446178,14.983213,19.726704,13.514374,1.831955,-5.896927,-9.676326,-36.643070,80.314415,-221.925598,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.412708,110.000000,0.000000,-69.322128,-6.372988,-239.837143,51.723854,-2.126928,-29.180494,3.695331,-5.188605,36.764599,-57.172417,80.558060,-36.316860,22.715340,26.120878,28.046511,19.785841,16.445162,-14.010734,65.405098,-30.022825,-3.561491,12.162891,-2.849988,3.173358,8.937747,15.039321,2.855764,-4.865389,-9.666650,-36.606430,85.362305,-214.524185,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.420557,111.000000,0.000000,-69.252800,-6.366615,-240.110123,45.518284,-2.124801,-29.151314,-6.051954,-5.696237,29.035528,-60.704987,79.451859,-47.562595,23.205444,22.505014,16.223593,24.381439,13.351794,-13.483902,79.185844,-21.274853,-2.532289,12.663548,0.742605,-18.368277,-16.712217,18.101204,2.852908,-2.809241,-9.656983,-36.569820,86.302582,-211.745560,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.428307,112.000000,0.000000,-69.183548,-6.360249,-239.870010,33.165073,-2.122676,-29.122162,-9.635646,-7.741823,17.211620,-64.234024,66.039070,-46.489391,23.182240,22.482510,31.079163,27.946802,13.851263,-13.470418,87.824608,-7.407425,0.034346,12.650885,3.305965,-5.016575,-5.413453,17.570284,3.362876,-1.780791,-9.647326,-36.533253,81.088074,-214.097916,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.436157,113.000000,0.000000,-69.114365,-6.353889,-239.117325,31.593447,-1.607733,-29.093040,-7.574728,-9.272542,18.220049,-64.682610,57.255085,-47.468544,20.594954,19.895924,28.996801,26.380394,11.273309,-14.482589,86.198326,-27.912838,0.547132,13.151054,5.866762,26.270493,27.412474,13.962969,3.872333,-1.266190,-9.637679,-36.496719,78.955704,-215.935104,8192.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.443907,114.000000,0.000000,-69.045250,-6.347535,-241.442307,33.613136,-2.631766,-28.551126,-8.079974,-9.776091,16.663368,-61.028187,55.659367,-51.523640,19.035898,18.337566,6.403703,24.815552,5.621010,-13.955286,96.368538,-48.910564,-0.991876,10.573801,5.348074,24.705761,29.949163,13.436186,3.868461,-1.264924,-9.628041,-36.460220,79.389572,-215.719162,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.451756,115.000000,0.000000,-70.001846,-6.341187,-242.739319,30.502598,-2.116314,-29.548216,-8.071895,-8.740673,10.492859,-55.838955,55.603710,-44.292629,19.016863,19.344870,22.294735,25.303556,9.205132,-12.402869,107.554214,-26.810373,1.060398,5.947843,2.265803,-7.626637,-2.388478,12.397108,3.351772,-1.776479,-9.618413,-36.423763,78.797363,-217.041916,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
1578521946.459506,116.000000,0.000000,-72.495949,-6.334846,-243.522232,27.395172,-1.088557,-32.082771,-11.653566,-9.244753,9.456725,-60.398499,45.804516,-48.350899,15.920922,13.684500,25.349363,17.073124,11.247210,-18.544312,87.959480,-15.501512,4.136261,5.429074,3.801999,-28.644651,-22.386089,9.820609,3.861241,-1.261882,-9.608794,-36.387337,79.231384,-221.440247,8064.000000,0.000000,-1.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000
